2023-05-06 20:37:32,422 INFO    MainThread:506 [wandb_setup.py:_flush():76] Current SDK version is 0.15.2
2023-05-06 20:37:32,423 INFO    MainThread:506 [wandb_setup.py:_flush():76] Configure stats pid to 506
2023-05-06 20:37:32,423 INFO    MainThread:506 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2023-05-06 20:37:32,423 INFO    MainThread:506 [wandb_setup.py:_flush():76] Loading settings from /content/drive/MyDrive/Dami's Thesis/code/wandb/settings
2023-05-06 20:37:32,424 INFO    MainThread:506 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-05-06 20:37:32,424 INFO    MainThread:506 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-05-06 20:37:32,424 INFO    MainThread:506 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-05-06 20:37:32,424 INFO    MainThread:506 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-05-06 20:37:32,426 INFO    MainThread:506 [wandb_init.py:_log_setup():507] Logging user logs to /content/drive/MyDrive/Dami's Thesis/code/wandb/run-20230506_203732-rkzmheoy/logs/debug.log
2023-05-06 20:37:32,426 INFO    MainThread:506 [wandb_init.py:_log_setup():508] Logging internal logs to /content/drive/MyDrive/Dami's Thesis/code/wandb/run-20230506_203732-rkzmheoy/logs/debug-internal.log
2023-05-06 20:37:32,427 INFO    MainThread:506 [wandb_init.py:_jupyter_setup():453] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f385e6268c0>
2023-05-06 20:37:32,428 INFO    MainThread:506 [wandb_init.py:init():547] calling init triggers
2023-05-06 20:37:32,428 INFO    MainThread:506 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-05-06 20:37:32,428 INFO    MainThread:506 [wandb_init.py:init():596] starting backend
2023-05-06 20:37:32,428 INFO    MainThread:506 [wandb_init.py:init():600] setting up manager
2023-05-06 20:37:32,437 INFO    MainThread:506 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-05-06 20:37:32,448 INFO    MainThread:506 [wandb_init.py:init():606] backend started and connected
2023-05-06 20:37:32,455 INFO    MainThread:506 [wandb_run.py:_label_probe_notebook():1238] probe notebook
2023-05-06 20:37:37,458 INFO    MainThread:506 [wandb_run.py:_label_probe_notebook():1248] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-05-06 20:37:37,459 INFO    MainThread:506 [wandb_init.py:init():700] updated telemetry
2023-05-06 20:37:37,466 INFO    MainThread:506 [wandb_init.py:init():737] communicating run to backend with 60.0 second timeout
2023-05-06 20:37:37,655 INFO    MainThread:506 [wandb_run.py:_on_init():2177] communicating current version
2023-05-06 20:37:37,710 INFO    MainThread:506 [wandb_run.py:_on_init():2186] got version response 
2023-05-06 20:37:37,711 INFO    MainThread:506 [wandb_init.py:init():787] starting run threads in backend
2023-05-06 20:37:37,799 INFO    MainThread:506 [wandb_run.py:_console_start():2158] atexit reg
2023-05-06 20:37:37,802 INFO    MainThread:506 [wandb_run.py:_redirect():2013] redirect: SettingsConsole.WRAP_RAW
